Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-NC3T8ER-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125282385684138,125282385884138,Delivered,PK-DEX,standard,Dropshipping,125282385884138,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-TEQ4SGX-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,69.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125282385684138,125282385884138,Delivered,PK-DEX,standard,Dropshipping,125282385884138,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-LP48MTY-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125282385684138,125282385884138,Delivered,PK-DEX,standard,Dropshipping,125282385884138,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-13DDASH-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-77.97,8.97,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125282385684138,125282385884138,Delivered,PK-DEX,standard,Dropshipping,125282385884138,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-QPZ5UCW-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125282385684138,125282385884138,Delivered,PK-DEX,standard,Dropshipping,125282385884138,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-TMJI14U-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125282385684138,125282385884138,Delivered,PK-DEX,standard,Dropshipping,125282385884138,,
02 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-1F7J8G6-210202,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,-17.49,2.01,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692216697511,124692217097511,Delivered,PK-DEX,standard,Dropshipping,124692217097511,,
02 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-CBC7F14-210202,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,34.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692216697511,124692217097511,Delivered,PK-DEX,standard,Dropshipping,124692217097511,,
02 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-BIYAG7O-210202,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,120.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692216697511,124692217097511,Delivered,PK-DEX,standard,Dropshipping,124692217097511,,
02 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-Y2SN4S5-210202,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,-38.42,4.42,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692216697511,124692217097511,Delivered,PK-DEX,standard,Dropshipping,124692217097511,,
